person1,person2,c_assoc_desc_chn,count
曾巩,王柏,书跋由Y所作,1
曾巩,王氏(李迂妻),为Y作墓志铭,1
曾巩,王用之,为Y作墓志铭,1
曾巩,王盛,为Y之建筑物题咏、记、命名,1
曾巩,田况,致书Y,1
曾巩,秦观,哀辞由Y所作,1
曾巩,程巨夫,书序由Y所作,1
曾巩,程师孟,为Y之建筑物题咏、记、命名,1
曾巩,章公量,从游者为Y,1
曾巩,章岷,致书Y,1
曾巩,胡敏,为Y作墓志铭,1
曾巩,胡敏,学生为Y,1
曾巩,胥元衡,为Y作墓志铭,1
曾巩,胥元衡,同年友,1
曾巩,苏序,为Y作墓志铭,1
曾巩,苏洵,为Y作哀辞,1
曾巩,苏轼,友,1
曾巩,苏轼,被致书由Y,1
曾巩,范师道,为Y所著书作序,1
曾巩,范百禄,答Y书,1
曾巩,范百禄,致书Y,1
曾巩,范端,为Y作墓志铭,1
曾巩,董仪,为Y作学记（书院记）,1
曾巩,蔡充,为Y作墓志铭,1
曾巩,蔡襄,答Y书,1
曾巩,蔡襄,致书Y,1
曾巩,虞集,书跋由Y所作,1
曾巩,虞集,祠记由Y所作,1
曾巩,袁陟,答Y书,1
曾巩,许氏(许仲容女),为Y作墓志铭,1
曾巩,谢氏(王用之妻),为Y作墓志铭,1
曾巩,谢续,为Y作字说、名述,1
曾巩,赵匡胤,为Y所著书作序,1
曾巩,赵孟坚,祝词由Y所作,1
曾巩,赵孟坚,祠记由Y所作,1
曾巩,赵宏,为Y作临别赠言(送别诗、序),1
曾巩,赵抃,为Y之建筑物题咏、记、命名,1
曾巩,郑旧,为Y作学记（书院记）,1
曾巩,释修广,为Y作墓志铭,1
曾巩,释可栖,为Y作佛寺记,1
曾巩,释智暹,为Y作佛寺记,1
曾巩,释瑞新,为Y作佛寺记,1
曾巩,释省怀,为Y作佛寺记,1
曾巩,释绍元,为Y作佛寺记,1
曾巩,释道常,为Y作佛寺记,1
曾巩,金X臣,为Y作墓志铭,1
曾巩,钱公辅,为Y之建筑物题咏、记、命名,1
曾巩,钱氏(刘涣妻),为Y作墓志铭,1
曾巩,钱藻,为Y作墓志铭,1
曾巩,钱藻,为Y所著书作序,1
曾巩,陈世卿,为Y作墓志铭,1
曾巩,陈世卿,为Y作神道碑,1
